nohup: ignoring input
BEFORE 3
535 ['aardvark', 'african elephant', 'african grey parrot', 'african ringneck', 'african wild dog']
gourami 0.0
grasshopper 0.001869158878504673
0 false
2 true
gray mouse 0.003738317757009346
0 true
1 false
2 false
3 false
4 false
great tit 0.005607476635514018
0 false
1 true
2 false.
3 false
4 false
greatdane 0.007476635514018692
0 true
1 false.
2 false
3 false.
4 false
greatwhiteshark 0.009345794392523364
0 false
1 false
2 false
3 false
4 false
grey squirrel 0.011214953271028037
0 true
1 false
2 false
3 false
4 false
grey wolf 0.013084112149532711
0 true
1 false
2 false
3 false
4 false
greyhound 0.014953271028037384
0 true
1 false
2 false
3 false
4 false
grizzly 0.016822429906542057
0 true
1 false
2 false
3 false
4 false
grizzly bear 0.018691588785046728
0 true
1 false
2 false
3 false
4 false
groundhog 0.020560747663551402
0 true
1 false
2 false
3 false
4 false
guinea pig 0.022429906542056073
0 true
1 false
2 false
3 false
4 false
guineapig 0.024299065420560748
0 true
1 false
2 false
3 false
4 false
gull 0.026168224299065422
0 false
1 true
2 false
3 false
4 false
gulls 0.028037383177570093
0 false
1 true
2 false.
3 false.
4 false.
guppy 0.029906542056074768
0 false
1 false
2 false
3 false
4 false
haddock 0.03177570093457944
0 false
1 false
2 false
3 false
4 false
hammerheadshark 0.03364485981308411
0 false
1 false
2 false
3 false
4 false
hamster 0.03551401869158879
0 true
1 false
2 false
3 false
4 false
hare 0.037383177570093455
0 true
1 false
2 false
3 false
4 false
hawk 0.03925233644859813
0 false
1 true
2 false
3 false
4 false
hedgehog 0.041121495327102804
0 true
1 false
2 false.
3 false
4 false
hedghog 0.04299065420560748
0 true
1 false
2 false.
3 false
4 false
hen 0.044859813084112146
0 false
1 true
2 false
3 false.
4 false
heron 0.04672897196261682
0 false
1 true
2 false
3 false
4 false
herring 0.048598130841121495
0 false
1 false
2 false
3 false
4 false
hippopotamus 0.05046728971962617
0 true
1 false
2 false
3 false
4 false
hippopotomus 0.052336448598130844
0 true
1 false
2 false
3 false
4 false.
hog 0.05420560747663551
0 true
1 false.
2 false
3 false
4 false
hornet 0.056074766355140186
0 false
1 false
2 true
3 false
4 false
horse 0.05794392523364486
0 true
1 false
2 false
3 false
4 false
house fly 0.059813084112149535
0 false
1 false
2 true
3 false
4 false
howler monkey 0.0616822429906542
0 true
1 false
2 false.
3 false
4 false
human 0.06355140186915888
0 true
1 false.
2 false
3 false
4 false
hummingbird 0.06542056074766354
0 false
1 true
2 false
3 false
4 false
humpback whale 0.06728971962616823
0 true
1 false
2 false
3 false
4 false
humpbackwhale 0.0691588785046729
0 true
1 false
2 false
3 false
4 false
husky 0.07102803738317758
