nohup: ignoring input
BEFORE 3
535 ['aardvark', 'african elephant', 'african grey parrot', 'african ringneck', 'african wild dog']
red squirrel 0.0
4 false
red wolf 0.001869158878504673
0 true
redrumpedagouti 0.003738317757009346
0 true
1 false
2 false
3 false
4 false
reindeer 0.005607476635514018
0 true
1 false
2 false
3 false
4 false
reptile 0.007476635514018692
0 false
1 false.
2 false
3 false
4 false.
rhino 0.009345794392523364
0 true
1 false
2 false
3 false
4 false
rhinoceros 0.011214953271028037
0 true
1 false
2 false
3 false
4 false
right whale 0.013084112149532711
0 true
1 false
2 false
3 false
4 false
ringtailed lemur 0.014953271028037384
0 true
1 false
2 false
3 false
4 false
robin 0.016822429906542057
0 false
1 true
2 false
3 false
4 false
roebuck 0.018691588785046728
0 true
1 false
2 false
3 false
4 false
rooster 0.020560747663551402
0 false
1 true
2 false
3 false
4 false
salamander 0.022429906542056073
0 false
1 false
2 false
3 false
4 true
salmon 0.024299065420560748
0 false
1 false
2 false
3 false
4 false
sanddollar 0.026168224299065422
0 false
1 false
2 false
3 false
4 false
sardine 0.028037383177570093
0 false
1 false
2 false
3 false
4 false
scallop 0.029906542056074768
0 false
1 false
2 false
3 false
4 false
scorpion 0.03177570093457944
0 false
1 false
2 false.
3 false.
4 false
sea bass 0.03364485981308411
0 false
1 false
2 false
3 false
4 false.
sea horse 0.03551401869158879
0 false
1 false
2 false
3 false
4 false
sea lion 0.037383177570093455
0 true
1 false
2 false
3 false
4 false.
sea turtle 0.03925233644859813
0 false
1 false
2 false
3 true
4 false
sea urchin 0.041121495327102804
0 false
1 false
2 false
3 false
4 false
seagull 0.04299065420560748
0 false
1 true
2 false
3 false
4 false
seahorse 0.044859813084112146
0 false
1 false
2 false
3 false
4 false
seal 0.04672897196261682
0 true
1 false
2 false
3 false
4 false
sealion 0.048598130841121495
0 true
1 false
2 false
3 false
4 false
seamonkey 0.05046728971962617
0 false
1 false.
2 false.
3 false
4 false.
shark 0.052336448598130844
0 false
1 false
2 false
3 false
4 false
sheep 0.05420560747663551
0 true
1 false
2 false
3 false
4 false
shellfish 0.056074766355140186
0 false
1 false
2 false.
3 false
4 false
shetland pony 0.05794392523364486
0 true
1 false
2 false
3 false
4 false.
shihtzu 0.059813084112149535
0 true
1 false
2 false.
3 false
4 false
shrew 0.0616822429906542
0 true
1 false
2 false
3 false
4 false
shrimp 0.06355140186915888
0 false
1 false
2 false.
3 false
4 false
siamese fighting fish 0.06542056074766354
0 false
1 false
2 false.
3 false
4 false.
siamesecat 0.06728971962616823
0 true
1 false
2 false
3 false
4 false
siberianhusky 0.0691588785046729
0 true
1 false
2 false
3 false
4 false
silverfish 0.07102803738317758
0 false
1 false
2 true
3 false
4 false
skate 0.07289719626168224
0 false
1 false.
2 false
3 false.
4 false
skunk 0.07476635514018691
0 true
1 false
2 false
3 false
4 false
sloth 0.07663551401869159
0 true
1 false
2 false
3 false
4 false
slug 0.07850467289719626
0 false
1 false
2 false
3 false
4 false
snail 0.08037383177570094
0 false
1 false
2 false
3 false
4 false
snake 0.08224299065420561
0 false
1 false
2 false
3 true
4 false
snow leopard 0.08411214953271028
0 true
1 false
2 false
3 false
4 false
snowfox 0.08598130841121496
0 true
1 false
2 false.
3 false.
4 false.
snowleopard 0.08785046728971962
0 true
1 false
2 false
3 false
4 false
snowlion 0.08971962616822429
0 false
1 false
2 false.
3 false
4 false.
snowmonkey 0.09158878504672897
0 true
1 false.
2 false.
3 false.
4 false.
sparrow 0.09345794392523364
0 false
1 true
2 false
3 false
4 false
sperm whale 0.09532710280373832
0 true
1 false
2 false
3 false
4 false
spider 0.09719626168224299
0 false
1 false
2 false
3 false
4 false
spider monkey 0.09906542056074766
0 true
1 false
2 false
3 false
4 false
spidermonkey 0.10093457943925234
0 false
1 false.
2 false
3 false.
4 false.
sponge 0.102803738317757
0 false
1 false
2 false
3 false
4 false
spoonbill 0.10467289719626169
0 false
1 true
2 false
3 false
4 false
springbok 0.10654205607476636
0 true
1 false
2 false
3 false
4 false
squid 0.10841121495327102
0 false
1 false
2 false.
3 false
4 false
squirrel 0.1102803738317757
0 true
1 false
2 false
3 false
4 false
squirrel monkey 0.11214953271028037
0 true
1 false
2 false
3 false
4 false
st bernard 0.11401869158878504
0 true
1 false
2 false
3 false
4 false
stag 0.11588785046728972
0 true
1 false
2 false
3 false
4 false
stallion 0.11775700934579439
0 true
1 false
2 false
3 false
4 false
starfish 0.11962616822429907
0 false
1 false
2 false
3 false
4 false
starling 0.12149532710280374
0 false
1 true
2 false.
3 false
4 false
stick insect 0.1233644859813084
0 false
1 false
2 true
3 false
4 false
stickinsect 0.1252336448598131
0 false
1 false
2 true
3 false
4 false
stingray 0.12710280373831775
0 false
1 false
2 false
3 false
4 false
stork 0.12897196261682242
0 false
1 true
2 false
3 false
4 false
stringer 0.1308411214953271
0 false
1 false
2 false
3 false
4 false
suckermouth catfish 0.13271028037383178
0 false
1 false
2 false
3 false
4 false
sugarglider 0.13457943925233645
0 true
1 false
2 false
3 false
4 false
sunfish 0.13644859813084112
0 false
1 false
2 false
3 false
4 false
swallow 0.1383177570093458
0 false
1 true
2 false.
3 false
4 false.
swan 0.14018691588785046
0 false
1 true
2 false
3 false
4 false
swordfish 0.14205607476635515
0 false
1 false
2 false
3 false.
4 false.
tadpole 0.14392523364485982
0 false
1 false
2 false
3 false
4 true
tapir 0.14579439252336449
0 true
1 false
2 false
3 false
4 false
tarantula 0.14766355140186915
0 false
1 false.
2 false.
3 false
4 false
tasmanian devil 0.14953271028037382
0 true
1 false
2 false
3 false
4 false.
tern 0.15140186915887852
0 false.
1 true
2 false.
3 true
4 false.
terrier 0.15327102803738318
0 true
1 false
2 false
3 false
4 false
tetra 0.15514018691588785
0 false.
1 false.
2 false.
3 false.
4 false.
tetra fish 0.15700934579439252
0 false
1 false
2 false.
3 false
4 false.
tick 0.1588785046728972
0 true
1 false
2 false
3 false
4 true
tiger 0.16074766355140188
0 true
1 false
2 false
3 false
4 false
tilapia 0.16261682242990655
0 false
1 false
2 false.
3 false
4 false.
tit 0.16448598130841122
0 true
1 true
2 false.
3 true.
4 true.
toad 0.16635514018691588
0 false
1 false
2 false
3 false
4 true
tortoise 0.16822429906542055
0 false
1 false
2 false
3 true
4 false
toucan 0.17009345794392525
0 false
1 true
2 false
3 false
4 false
tree frog 0.17196261682242991
0 false
1 false
2 false
3 false
4 true
treefrog 0.17383177570093458
0 false
1 false
2 false
3 false
4 true
trout 0.17570093457943925
0 false
1 false
2 false
3 false
4 false
tuna 0.17757009345794392
0 false
1 false
2 false
3 false
4 false
turkey 0.17943925233644858
0 false
