human,4.361727836
ant,4.184691431
fish,4.173186268
dog,4.152288344
cat,4.117271296
bird,4.08278537
bear,4.06069784
horse,4.045322979
fox,4.0
puppy,3.971275849
snake,3.920123326
sheep,3.91750551
rabbit,3.882524538
fly,3.879669206
seal,3.866877814
wolf,3.859138297
pig,3.853698212
bat,3.850033258
lion,3.827369273
dragon,3.824125834
elephant,3.808885867
chicken,3.791690649
insect,3.783188691
tiger,3.779596491
monster,3.77815125
turkey,3.77524626
cattle,3.761927838
turtle,3.760422483
mouse,3.748962861
duckling,3.737987326
frog,3.728353782
bull,3.723455672
seals,3.719331287
duck,3.716837723
jay,3.707570176
spider,3.707570176
eagle,3.698970004
whale,3.691965103
monkey,3.69019608
beast,3.683947131
mammal,3.660865478
robin,3.658964843
deer,3.658011397
dolphin,3.645422269
hawk,3.640481437
shark,3.633468456
worm,3.627365857
rat,3.624282096
lizard,3.622214023
cow,3.621176282
buffalo,3.602059991
mite,3.598790507
bug,3.596597096
bacterium,3.583198774
butterfly,3.5774918
bee,3.572871602
cricket,3.559906625
guinea,3.547774705
penguin,3.544068044
raven,3.53529412
monitor,3.5289167
goose,3.525044807
goat,3.509202522
crow,3.503790683
dinosaur,3.50242712
beaver,3.495544338
crane,3.491361694
leopard,3.478566496
weasel,3.477121255
squirrel,3.471291711
crake,3.45484486
lamb,3.45331834
owl,3.450249108
falcon,3.445604203
hare,3.442479769
swan,3.440909082
buck,3.434568904
salmon,3.423245874
amphibian,3.421603927
ass,3.408239965
ape,3.404833717
beetle,3.404833717
panda,3.404833717
crocodilian,3.399673721
lizards,3.396199347
predator,3.394451681
donkey,3.385606274
dove,3.385606274
cardinal,3.382017043
ram,3.374748346
rhino,3.371067862
kangaroo,3.367355921
crocodile,3.365487985
reptile,3.359835482
swift,3.352182518
gorilla,3.344392274
camel,3.326335861
bunny,3.318063335
otter,3.315970345
crab,3.31386722
ox,3.311753861
python,3.311753861
scorpion,3.311753861
coral,3.309630167
trout,3.307496038
cheetah,3.305351369
mole,3.305351369
primates,3.301029996
ray,3.301029996
canine,3.29666519
bi,3.292256071
pigeon,3.290034611
parrot,3.28780173
drake,3.285557309
eater,3.271841607
gnu,3.260071388
alga,3.255272505
mule,3.255272505
hippopotamus,3.252853031
gulls,3.238046103
